OcHtgTbal,OcHtgSlope,OcHtgYint,UnHtgTbal,UnHtgSlope,UnHtgYint,OcClgTbal,OcClgSlope,OcClgYint,UnClgTbal,UnClgSlope,UnClgYint,R2OcHtg,R2UnHtg,R2OcClg,R2UnClg,CVOcHtg,CVUnHtg,CVOcClg,CVUnClg
1,-2.5277,41.725,6,-3.1532,16.595,12,6.8161,0.26595,13,3.4687,3.5228,0.37354,0.85562,0.86918,0.89694,0.36776,0.28453,0.61639,0.66076
14,-6.0985,1.27,8,-2.0781,0.75469,15,5.2988,5.5301,16,3.0675,3.2827,0.8998,0.47897,0.90751,0.83303,0.34408,1.2357,0.60337,1.0982
23,-3.3379,1.6566,4,-0.70422,0.021339,14,7.2204,0.3118,1,0,0,0.77686,0.81836,0.85376,NaN,0.38729,0.69318,0.72019,NaN
10,-4.5866,3.7168,2,-1.6859,0.092358,14,5.9368,6.3224,1,0,0,0.76254,0.82982,0.86049,NaN,0.61683,0.72932,0.71376,NaN
11,-4.9443,2.0189,7,-1.6748,0.38443,14,5.582,5.6707,1,0,0,0.85021,0.84098,0.86478,NaN,0.47138,0.5456,0.71468,NaN
25,-2.291,5.8091,25,-1.6669,1.4276,12,4.0478,3.9926,13,3.6952,0.18927,0.7021,0.5649,0.86825,0.86731,0.3921,0.50932,0.64072,0.72494
9,-4.498,36.463,9,-1.765,0.19163,14,7.8968,8.2187,1,0,0,0.6897,0.80572,0.87284,NaN,0.3853,0.58085,0.68306,NaN
17,-3.2727,0.65032,7,-1.9041,0.36994,15,2.9068,0.14416,17,1.8484,0.076354,0.76469,0.87112,0.89523,0.83613,0.51348,0.48536,0.62362,1.1248
1,-3.3274,128.49,6,-1.8587,0.19217,12,8.1363,0.56754,1,0,0,0.24526,0.86023,0.85508,NaN,0.23355,0.53726,0.64777,NaN
12,-5.5414,5.323,5,-2.0003,0.26243,14,6.6266,6.7385,1,0,0,0.90266,0.84126,0.86105,NaN,0.37663,0.59973,0.72573,NaN
13,-4.1892,1.3553,11,-1.8015,0.23769,15,4.5685,0.013672,15,2.3564,2.4342,0.90776,0.62729,0.9054,0.86218,0.33678,0.84159,0.60244,0.9164
3,-5.3927,66.393,3,-3.1615,10.438,12,6.0791,6.373,16,3.3166,0.1847,0.68092,0.7658,0.87323,0.8679,0.26671,0.47482,0.6149,0.90365
10,-3.5578,2.8694,7,-1.9454,0.49089,14,5.3801,5.6661,1,0,0,0.80278,0.83316,0.86741,NaN,0.54814,0.55942,0.69626,NaN
6,-2.9934,0.097022,1,-0.74859,0.086163,14,5.5782,5.9479,1,0,0,0.90442,0.83614,0.85013,NaN,0.46881,0.73583,0.74391,NaN
6,-3.1475,1.7341,2,-1.4596,0.11819,14,6.6218,6.9121,1,0,0,0.69426,0.83673,0.86774,NaN,0.86856,0.70642,0.69783,NaN
25,-2.76,3.0737,17,-2.8475,0.56287,13,6.5061,6.9023,14,4.1489,4.3051,0.64739,0.88154,0.86507,0.89894,0.47662,0.31423,0.66674,0.69938
14,-4.575,0.38272,14,-2.6843,2.6961,16,6.5807,0.33659,19,2.5963,0.14246,0.83048,0.89916,0.87367,0.77986,0.47185,0.33117,0.73013,1.5563
10,-3.7454,1.285,3,-1.676,0.14974,14,4.7067,4.8768,1,0,0,0.7987,0.84703,0.86931,NaN,0.58961,0.64611,0.69514,NaN
10,-3.6422,1.0055,4,-1.799,0.48897,15,5.7642,6.124,16,2.3395,2.4786,0.75273,0.72585,0.8613,0.84242,0.6792,0.85872,0.75205,1.071
1,-1.1846,128.22,1,-2.3565,85.143,12,8,8.0931,13,8.1894,0.22383,0.1087,0.34113,0.88653,0.88844,0.14263,0.19802,0.58388,0.66496
25,-2.134,0.29346,2,-1.4843,4.3885,12,3.9187,0.0041346,14,2.8233,0.18591,0.72172,0.48428,0.87797,0.77501,0.42212,0.93251,0.59953,1.0603
25,-1.531,1.1187,1,-0.52402,0.33938,14,9.0723,0.27302,1,0,0,0.60731,0.71894,0.85196,NaN,0.5594,1.2192,0.72928,NaN
1,-1.7538,78.926,1,-0.719,0.72159,11,5.4188,5.6336,1,0,0,0.21843,0.81696,0.85136,NaN,0.21833,0.82572,0.64521,NaN
24,-2.5572,2.064,8,-1.9082,0.037572,14,7.3382,0.19664,1,0,0,0.68653,0.83526,0.84661,NaN,0.48835,0.55375,0.74571,NaN
7,-4.5031,3.9764,2,-1.3783,0.092304,14,6.6033,6.9366,1,0,0,0.76135,0.84038,0.84633,NaN,0.67164,0.69958,0.75966,NaN
5,-2.8818,0.16715,1,-1.2222,0.1333,14,5.579,5.8774,1,0,0,0.869,0.84924,0.85508,NaN,0.58158,0.70159,0.73305,NaN
2,-3.4101,46.662,11,-2.7127,7.493,14,6.2031,6.584,18,4.0206,0.11218,0.53448,0.86494,0.88999,0.74907,0.32286,0.32889,0.6241,1.6259
25,-1.7645,1.4083,20,-1.5145,1.4627,12,5.6325,0.25125,11,4.0501,3.9969,0.60816,0.82523,0.864,0.84827,0.5269,0.32896,0.62924,0.72718
