,Uwindow,SHGC,Ropaque,Qinfil,Qventilation,Qcasual,Fafterhours
Uwindow,1.0,-0.21685609138399412,-0.10915589358147763,0.6013889652845659,0.7414738930647945,-0.28624439201997126,-0.5384804173923321
SHGC,-0.21685609138399406,1.0,0.43341074721618256,0.25639382943148986,0.08062455211975152,0.8632281005426233,0.5669092797906881
Ropaque,-0.10915589358147766,0.43341074721618256,1.0,-0.0504763295506942,-0.1554467137018995,0.4340605444958342,0.1608609095726712
Qinfil,0.6013889652845659,0.25639382943148986,-0.0504763295506942,1.0,0.5754680820432614,0.26667426012984463,-0.2195067025453712
Qventilation,0.7414738930647945,0.08062455211975152,-0.1554467137018995,0.5754680820432614,1.0,0.05561118411492075,-0.19571394782812093
Qcasual,-0.28624439201997126,0.8632281005426234,0.43406054449583414,0.26667426012984463,0.05561118411492075,1.0,0.6176681764704052
Fafterhours,-0.5384804173923322,0.566909279790688,0.1608609095726712,-0.2195067025453712,-0.19571394782812093,0.6176681764704052,1.0
