Parameter,Mean,MAE,RMSE,MAPE,R2,Std. Dev
Uwindow,2.5619133,0.5216712044298312,0.6102443646020744,22.491364354252728,-0.01845861497113096,0.13547885
SHGC,0.5024916,0.10603990984655688,0.1280722079698178,22.72272228344278,-0.24662410254766165,0.054755572
Ropaque,3.2334528,0.8921882884130338,1.033988285631528,31.984561872802455,-0.033659832343644294,0.11939168
Qinfil,0.56017816,0.2126220154345107,0.2541447107346684,60.439390773916514,0.014126592790946732,0.082690656
Qventilation,1.1076156,0.19596397343954375,0.24616743411596265,25.785663491633876,0.7664738066970718,0.45039493
Qcasual,11.633858,2.260441430715611,2.85766337646553,26.408101988007857,0.663520136680402,3.96918
Fafterhours,0.5050814,0.22870913708993282,0.27445119703505744,342.69264787137,0.08393026306600017,0.11232129
Mset up/down,0.5063827,0.08115809548620107,0.09682198909180892,,0.9588767286371573,0.49449167
"Tsa,clg",13.549206,0.622832561792628,0.7733505878955097,4.665328684665173,0.2094610138315981,0.42559537
"Tsa,htg",19.314625,2.040134075552572,2.4339380485273807,10.554794935599077,0.10456513394916549,1.060219
"Tsa,reset",0.501796,0.23049512148605408,0.29447270187933644,,0.6493972934245366,0.40083158
"Tafterhours,htg",0.83413196,0.09749918855035178,0.11689393647440255,11.765861564716408,-0.6929885388027047,0.029422916
"Tafterhours,clg",1.1690242,0.08105784845837466,0.09653606121103488,6.946821133118152,-1.4833342717151583,0.027085647
"Fvav,min-sp",0.3511056,0.1322924536231814,0.15791616159184338,51.11751072590524,-0.2373264463426364,0.038640793
"Shtg,summer",0.49133432,0.3455508361123097,0.4028042898507629,,0.3501333554244719,0.30642614
