Parameter,Mean,MAE,RMSE,MAPE,R2,Std. Dev
Uwindow,2.5339189,0.523735204771773,0.6085582874108421,22.370596593956336,-0.012391964056468445,0.09588613
SHGC,0.49903166,0.09385862320774124,0.11103389183083247,20.2405204696287,0.09573328029017954,0.042765323
Ropaque,3.2496955,0.8871342661242765,1.024993532848377,31.9946279758601,-0.015591179008244164,0.11417517
Qinfil,0.542471,0.20772316895102527,0.2439786294339411,58.22539121089016,0.09708030472418225,0.072506934
Qventilation,1.0935655,0.17574413378576806,0.22707999596037395,22.374405498416632,0.8026597625547811,0.46812016
Qcasual,11.619075,1.7992501908944092,2.278626848304396,20.807144898478406,0.7861122145447113,4.3106403
Fafterhours,0.49821475,0.21349809133666908,0.2563339592589664,304.4237082770492,0.2053205883754265,0.13395938
Mset up/down,0.5101133,0.06028385285644302,0.0805546241733196,,0.973658299666116,0.49598208
"Tsa,clg",13.5332155,0.6373058806566874,0.7823711441657812,4.770007861556752,0.1915199497871475,0.44251072
"Tsa,htg",19.35135,2.0500498360750834,2.4445691612375855,10.6266688628462,0.09730941899083473,1.085084
"Tsa,reset",0.50255287,0.2572841008732517,0.31199916012163853,,0.6098268684513666,0.37852407
"Tafterhours,htg",0.8406144,0.079373805696238,0.09327174022454328,9.652431957067758,-0.02728112157623399,0.024558814
"Tafterhours,clg",1.1698923,0.05504911178589407,0.06505436269602272,4.7219749153581665,-0.05365345282360824,0.01986434
"Fvav,min-sp",0.3521352,0.12103772149084778,0.14229488157715323,48.027894036117374,0.018129687694678254,0.041694622
"Shtg,summer",0.49681884,0.3507005032598631,0.40126149929482074,,0.35590515057776406,0.3000027
