OcHtgTbal,OcHtgSlope,OcHtgYint,UnHtgTbal,UnHtgSlope,UnHtgYint,OcClgTbal,OcClgSlope,OcClgYint,UnClgTbal,UnClgSlope,UnClgYint,R2OcHtg,R2UnHtg,R2OcClg,R2UnClg,CVOcHtg,CVUnHtg,CVOcClg,CVUnClg
1,-1.3635,38.134,3,-2.9805,14.877,11,5.4146,5.4941,13,3.1151,3.1735,0.19425,0.88913,0.8594,0.8981,0.36437,0.24671,0.62884,0.65558
15,-5.5703,5.0573,6,-1.7691,1.3059,16,4.964,0.14392,17,2.504,0.13392,0.93745,0.4407,0.90747,0.83535,0.26505,1.3482,0.62063,1.1128
19,-3.5432,0.47224,1,-0.52575,0.13117,14,5.4327,5.6902,1,0,0,0.81233,0.77476,0.86494,NaN,0.41526,0.86191,0.70533,NaN
10,-4.5261,0.90874,1,-0.95401,0.94943,14,5.0814,5.2992,1,0,0,0.84937,0.76819,0.86322,NaN,0.50416,0.96068,0.71179,NaN
12,-4.7922,0.82521,4,-1.2934,0.3536,14,4.8282,4.8489,1,0,0,0.90901,0.84064,0.86444,NaN,0.35255,0.60816,0.71905,NaN
25,-2.0193,5.6207,25,-1.3975,2.4319,13,4.0094,0.24971,13,3.1416,0.020577,0.62556,0.50899,0.87307,0.86394,0.46026,0.5466,0.62905,0.75285
11,-4.34,26.246,8,-1.4146,0.067407,14,6.397,0.066674,1,0,0,0.82745,0.8166,0.87492,NaN,0.30279,0.58841,0.66691,NaN
16,-3.1903,0.48407,6,-1.505,0.30974,15,2.3198,0.062001,17,1.3878,0.026094,0.83486,0.85616,0.888,0.83733,0.42862,0.53648,0.65443,1.1489
1,-2.8122,115.16,2,-1.3842,0.31976,12,7.2191,7.288,1,0,0,0.24724,0.83894,0.84642,NaN,0.21998,0.67363,0.69563,NaN
12,-5.3952,0.36787,2,-1.2654,0.25305,14,5.7029,5.8439,1,0,0,0.91868,0.81433,0.85,NaN,0.33564,0.74003,0.75658,NaN
14,-3.9797,0.3503,15,-1.2407,1.2664,15,3.7453,3.9426,16,2.2979,0.066267,0.92661,0.52213,0.90405,0.85165,0.29377,0.90766,0.61322,0.99065
3,-4.7082,59.137,1,-2.7162,8.1984,12,5.5105,5.5273,16,2.6817,0.11855,0.69,0.77456,0.86498,0.85801,0.25716,0.48217,0.64652,0.95211
9,-3.1863,0.83735,5,-1.4041,0.16075,14,4.3232,4.5148,1,0,0,0.84507,0.83357,0.86256,NaN,0.52805,0.61893,0.71337,NaN
6,-2.2556,2.2273,1,-0.23487,0.15145,14,4.9675,0.098051,1,0,0,0.90743,0.72609,0.84895,NaN,0.46821,1.1988,0.74114,NaN
5,-2.5679,0.39781,1,-0.69965,0.66572,14,5.8687,6.2352,1,0,0,0.78054,0.76549,0.86426,NaN,0.77807,0.98068,0.7032,NaN
25,-2.585,1.8298,17,-2.8832,0.63357,13,6.3502,0.11915,14,3.729,3.8713,0.69261,0.89034,0.85707,0.89243,0.43937,0.30031,0.68435,0.72393
14,-4.2133,4.1017,13,-2.3273,0.21857,16,5.6321,0.12646,19,1.7798,0.086316,0.89422,0.88345,0.87963,0.79397,0.36441,0.36906,0.72159,1.5088
9,-3.6087,0.62855,1,-1.0418,0.048275,14,4.0964,4.3308,1,0,0,0.85732,0.79823,0.86219,NaN,0.50971,0.85306,0.71086,NaN
10,-3.4209,0.41393,1,-1.4661,1.2148,15,5.0095,5.3221,17,2.309,0.12744,0.78816,0.53857,0.85863,0.84547,0.6275,1.2702,0.76043,1.0696
25,-0.49362,108.18,1,-1.411,80.279,12,6.7129,6.834,12,6.0513,6.1754,0.13334,0.15856,0.88565,0.87316,0.13527,0.21494,0.58527,0.68981
25,-1.6844,0.12834,1,-1.0146,3.7755,12,2.715,2.7107,14,1.9394,0.032561,0.74577,0.32694,0.89331,0.79512,0.39823,1.1533,0.56632,1.0296
25,-1.2802,0.091736,1,-0.26652,0.15316,14,7.9827,0.32618,1,0,0,0.58525,0.72064,0.85358,NaN,0.57432,1.2441,0.7214,NaN
1,-1.2397,66.035,1,-0.29143,0.15626,11,4.0884,4.3064,1,0,0,0.12969,0.60768,0.85005,NaN,0.25508,1.6267,0.64616,NaN
24,-2.0703,1.8149,4,-1.4455,0.33022,14,6.4284,0.32873,1,0,0,0.64264,0.82919,0.84222,NaN,0.53682,0.63996,0.75072,NaN
7,-4.1646,1.1542,1,-0.67671,0.64324,14,5.7108,5.9308,1,0,0,0.80088,0.77278,0.8384,NaN,0.66043,0.96101,0.78637,NaN
5,-1.9208,1.9346,1,-0.49333,0.44011,14,5.177,0.075944,1,0,0,0.88475,0.78998,0.85009,NaN,0.55139,0.93016,0.73939,NaN
1,-3.5416,37.336,10,-2.2567,5.5597,14,5.4171,0.086855,18,3.1454,0.019368,0.59673,0.87097,0.88485,0.76229,0.33624,0.33628,0.63482,1.6189
25,-1.3488,1.335,21,-0.98365,0.93449,12,4.5243,0.080978,12,3.6653,0.15707,0.73284,0.77617,0.8681,0.849,0.41425,0.39176,0.62347,0.73661
16,-3.326,1.4592,12,-2.2181,1.1615,14,3.8887,0.029774,15,3.2463,0.0243,0.84508,0.85886,0.89353,0.86453,0.40226,0.40851,0.60955,0.87729
1,-1.4816,37.933,7,-1.2755,0.18451,14,4.2587,0.09337,1,0,0,0.29169,0.84695,0.86608,NaN,0.30183,0.54075,0.69029,NaN
12,-3.0176,0.57755,13,-1.6688,0.21337,15,3.949,4.0728,20,1.6629,0.049422,0.83669,0.92919,0.85725,0.69963,0.49118,0.27952,0.77562,2.1995
8,-3.0664,0.22744,8,-1.563,0.34312,14,4.0706,4.2447,17,2.1297,0.074312,0.7996,0.86237,0.8773,0.81399,0.66017,0.48339,0.66873,1.2234
1,-0.73497,79.257,25,-0.58986,15.53,12,5.8791,6.1675,14,5.0245,0.14571,0.12143,0.096616,0.88787,0.86602,0.13447,0.71084,0.5734,0.79174
14,-4.0118,3.6272,2,-0.82022,0.1341,15,3.4672,3.5714,1,0,0,0.89312,0.74976,0.889,NaN,0.36913,0.90391,0.67202,NaN
9,-4.8928,34.04,7,-2.2622,6.3603,13,5.4012,0.087644,17,3.0183,0.24539,0.8294,0.75494,0.90057,0.77187,0.28265,0.5052,0.55735,1.322
6,-0.85923,26.609,1,-0.070253,0.07181,12,5.4377,5.5996,1,0,0,0.38469,0.40113,0.84051,NaN,0.25783,3.1366,0.70699,NaN
11,-5.6184,3.755,13,-4.7482,0.79313,14,5.9038,5.9573,15,4.7322,0.20737,0.8896,0.93539,0.90644,0.87899,0.38336,0.26506,0.58223,0.80007
23,-2.6765,2.4377,1,-0.10797,0.015625,13,5.9184,6.0066,1,0,0,0.703,0.49906,0.86156,NaN,0.48699,2.3436,0.68756,NaN
1,-0.84004,63.03,1,-0.69445,0.071182,11,5.3053,5.4088,1,0,0,0.11023,0.81312,0.85185,NaN,0.20174,0.79983,0.64751,NaN
6,-1.8613,0.0074169,1,-1.628,1.6634,14,7.3274,0.21278,15,3.8833,4.0688,0.85744,0.91329,0.87516,0.91129,0.59132,0.53465,0.66107,0.70745
8,-4.6671,0.24846,1,-0.10375,0.0064587,14,6.4022,6.6579,1,0,0,0.8547,0.48823,0.86059,NaN,0.54556,2.4759,0.72052,NaN
19,-2.25,1.7934,2,-1.2381,0.27166,14,5.0978,0.086635,1,0,0,0.52748,0.74881,0.86163,NaN,0.77902,0.89314,0.70491,NaN
16,-1.5076,1.5059,3,-1.4541,0.09505,13,5.1604,5.3225,1,0,0,0.44022,0.81165,0.86025,NaN,1.1046,0.73663,0.68738,NaN
11,-5.7282,0.49887,14,-4.7275,4.1574,15,7.177,0.21055,15,3.7746,0.045173,0.92492,0.94894,0.89012,0.88011,0.33312,0.23212,0.64663,0.81517
25,-0.28483,72.007,1,-0.65181,0.029674,13,6.8325,7.1856,1,0,0,0.034694,0.82056,0.86514,NaN,0.24516,0.79363,0.66865,NaN
6,-2.2512,0.042666,5,-1.462,0.077442,14,4.3815,4.4937,15,2.9517,0.063801,0.85041,0.94654,0.89269,0.90637,0.60643,0.3332,0.62421,0.7047
14,-4.7721,1.3467,1,-2.3254,0.44499,15,4.1933,0.021204,19,2.8027,0.11114,0.90567,0.8051,0.88193,0.6955,0.33029,0.79975,0.68127,1.9907
8,-2.0034,0.32715,5,-1.0653,0.1661,14,3.169,3.3303,1,0,0,0.79352,0.84842,0.85101,NaN,0.66302,0.58075,0.7458,NaN
18,-4.7677,2.4649,1,-0.62323,0.74222,15,3.6028,0.14264,20,3.0732,0.17942,0.89529,0.20445,0.87857,0.67573,0.29769,2.4866,0.68093,2.1794
15,-4.9258,4.707,11,-1.9691,2.002,16,4.9366,0.27277,16,2.5943,0.038868,0.89398,0.6162,0.9111,0.85525,0.35177,0.87705,0.59841,0.98911
6,-3.7464,0.50965,2,-0.56981,0.070395,14,5.4772,5.8318,1,0,0,0.84294,0.81424,0.85739,NaN,0.61007,0.75522,0.72302,NaN
9,-2.2744,0.9196,4,-0.58791,0.12129,14,4.2709,4.3253,1,0,0,0.83469,0.74308,0.88542,NaN,0.53771,0.83296,0.65098,NaN
20,-3.1581,0.81413,1,-0.40039,0.22883,13,5.7263,0.14454,1,0,0,0.78162,0.70017,0.84837,NaN,0.43566,1.309,0.70681,NaN
