,Uwindow,SHGC,Ropaque,Qinfil,Qventilation,Qcasual,Fafterhours
Uwindow,1.0,-0.12977067995089103,-0.10971552018413203,0.4570047094980713,0.642364545763364,-0.21420602595031585,-0.5019841574826006
SHGC,-0.12977067995089103,1.0,0.30016008213078993,0.16739176219050325,0.10251377222754238,0.6920335365796888,0.4257394478176788
Ropaque,-0.10971552018413203,0.30016008213078993,1.0,-0.22494696950766851,-0.2828108285941127,0.3961281659347201,0.07016617074076986
Qinfil,0.4570047094980713,0.16739176219050325,-0.22494696950766851,1.0,0.5161277466316464,0.18924892674055582,-0.16785098129595263
Qventilation,0.6423645457633639,0.10251377222754238,-0.2828108285941127,0.5161277466316464,1.0,0.044961654767060974,-0.15026578778749194
Qcasual,-0.21420602595031585,0.6920335365796889,0.3961281659347201,0.18924892674055582,0.044961654767060974,1.0,0.5024584956426532
Fafterhours,-0.5019841574826006,0.4257394478176788,0.07016617074076986,-0.16785098129595258,-0.15026578778749194,0.5024584956426532,1.0
