Parameter,Mean,MAE,RMSE,MAPE,R2,Std. Dev
Uwindow,2.533172,0.5434011499824785,0.6389465449059629,23.15184540665748,-0.1198320776688181,0.11184974
SHGC,0.4903797,0.14125004412075695,0.1705091390900753,29.75896017696944,-1.2482952880119529,0.06340162
Ropaque,3.2612858,0.9002181670302289,1.0483478189950775,32.49699609506041,-0.06303965964779167,0.15042643
Qinfil,0.52866346,0.24257385424509365,0.29145867831973077,64.32528039581659,-0.3153268151216675,0.09390476
Qventilation,1.1084182,0.23795174810073358,0.295983741993099,30.100685703556778,0.6516498658880779,0.43265483
Qcasual,11.491851,1.4973903340963135,1.91282364363873,16.877945128658034,0.8490169973483478,4.498948
Fafterhours,0.4928666,0.24548520618974368,0.29801086419876666,329.6006013155461,-0.09458549537853868,0.13690965
Mset up/down,0.49290204,0.15522421798697106,0.18462079912105359,,0.8465943243476675,0.4761271
"Tsa,clg",13.51208,0.6972560045096334,0.8406074481421062,5.205830735322329,0.06511763610735855,0.372135
"Tsa,htg",19.398415,1.9145664882263946,2.3410612080050233,9.945392954394197,0.16897323038917386,1.2524898
"Tsa,reset",0.52395326,0.26680029792616144,0.3414992816965225,,0.5217513737789371,0.3883583
"Tafterhours,htg",0.8514931,0.12823054596959182,0.15162034504388555,15.607662765690595,-2.0549162999912,0.057204366
"Tafterhours,clg",1.151355,0.1201350402531856,0.1401694114608131,10.267536743667442,-4.597491473105883,0.058382228
"Fvav,min-sp",0.37069634,0.15855555014711503,0.19065714761162994,61.881831928123276,-0.8571710355472577,0.06316177
"Shtg,summer",0.5114808,0.37733256867239406,0.44131628704765063,,0.2155236739785738,0.2804924
