,Uwindow,SHGC,Ropaque,Qinfil,Qventilation,Qcasual,Fafterhours
Uwindow,1.0,-0.08772268017347175,-0.024927245808107335,0.2767842065657203,0.42055488358387527,-0.12156698162052336,-0.25896774148753265
SHGC,-0.08772268017347176,1.0,0.10012126946880986,-0.04540341369027311,0.01726651726022797,0.1969446814959727,0.1088592508039122
Ropaque,-0.024927245808107335,0.10012126946880986,1.0,-0.11244277067289798,-0.16944778744445213,0.16658172908452365,0.03690764410430136
Qinfil,0.27678420656572034,-0.045403413690273134,-0.11244277067289798,1.0,0.456902739260169,0.07012460799433026,-0.30119786802094173
Qventilation,0.4205548835838753,0.017266517260227966,-0.16944778744445213,0.456902739260169,1.0,0.0380548773459607,-0.15150008159651915
Qcasual,-0.12156698162052336,0.19694468149597263,0.16658172908452362,0.07012460799433026,0.0380548773459607,1.0,0.37692472178016934
Fafterhours,-0.2589677414875327,0.1088592508039122,0.03690764410430134,-0.3011978680209417,-0.15150008159651915,0.37692472178016934,1.0
