OcHtgTbal,OcHtgSlope,OcHtgYint,UnHtgTbal,UnHtgSlope,UnHtgYint,OcClgTbal,OcClgSlope,OcClgYint,UnClgTbal,UnClgSlope,UnClgYint,R2OcHtg,R2UnHtg,R2OcClg,R2UnClg,CVOcHtg,CVUnHtg,CVOcClg,CVUnClg
1,-1.5046,37.17,5,-2.94,13.348,11,4.878,4.8843,13,2.6984,2.8131,0.23029,0.90127,0.85299,0.88191,0.36559,0.24556,0.64779,0.70364
14,-5.141,0.60438,4,-1.6947,0.25527,16,3.8624,0.025601,20,1.9222,0.11578,0.90119,0.68972,0.87028,0.69812,0.34461,0.96146,0.75978,2.0605
17,-3.9792,0.41942,4,-0.58324,0.097798,15,5.0821,0.2824,1,0,0,0.85826,0.85063,0.85515,NaN,0.37913,0.59852,0.74815,NaN
11,-4.4817,0.85726,1,-1.1829,0.10555,14,4.2445,4.3361,1,0,0,0.86273,0.79236,0.84974,NaN,0.46025,0.85746,0.75829,NaN
13,-4.5397,0.74049,7,-1.2267,0.12553,15,4.8478,0.18924,1,0,0,0.91222,0.85412,0.85488,NaN,0.3335,0.52936,0.75482,NaN
25,-1.9666,5.0177,25,-1.3536,1.1354,13,3.6018,0.21796,13,2.4626,2.5652,0.61923,0.55463,0.85998,0.86701,0.47167,0.5205,0.66612,0.75341
14,-3.8093,16.888,10,-1.5994,0.38269,14,4.5821,0.057681,1,0,0,0.7821,0.84398,0.87551,NaN,0.38051,0.48105,0.66452,NaN
16,-3.2416,1.1416,7,-1.4665,0.072316,15,1.9264,0.053223,21,1.8123,0.054206,0.81934,0.85852,0.85503,0.78638,0.44454,0.52453,0.75845,1.9079
5,-2.6638,99.017,3,-1.3611,0.29564,13,7.4956,0.36256,1,0,0,0.3671,0.84813,0.83505,NaN,0.21941,0.62421,0.73691,NaN
14,-4.7098,4.6887,3,-1.4764,0.23787,15,5.665,0.27663,1,0,0,0.89551,0.83,0.83868,NaN,0.36112,0.67644,0.79979,NaN
15,-3.6313,0.53759,11,-1.2231,0.19253,15,3.2245,3.3729,16,1.7587,0.024651,0.89442,0.7251,0.88066,0.83962,0.34355,0.67023,0.69501,1.0518
