Parameter,Mean,MAE,RMSE,MAPE,R2,Std. Dev
Uwindow,2.5326824,0.5302160818429362,0.6184306350620826,22.622602670976754,-0.04591123572799296,0.088156365
SHGC,0.49542317,0.11466502231912629,0.13729795596614472,24.510536071567795,-0.41783164274817525,0.029690586
Ropaque,3.2343774,0.8880087467545,1.0289512799512734,31.841388468681675,-0.023542854081363453,0.11975029
Qinfil,0.5312223,0.22216407413182096,0.264074150524944,60.19699373036611,-0.06288907448485916,0.07177605
Qventilation,1.0962673,0.22081140932528298,0.2782558891395498,27.158605050356623,0.7018414171761321,0.43919373
Qcasual,11.530696,1.4271988430566234,1.8260329181476707,16.348131911926977,0.8625747372005115,4.518465
Fafterhours,0.50159913,0.21495801340841023,0.26001157976812445,306.45671172242487,0.17905291219080768,0.14056668
Mset up/down,0.50602144,0.08892419463482958,0.11039064465695066,,0.9486874023740859,0.49091166
"Tsa,clg",13.530632,0.6547294406794485,0.7967790097597856,4.89698195467471,0.1611677570688126,0.39460573
"Tsa,htg",19.285395,2.029305582986577,2.441701238217375,10.490872015093561,0.09877298498076784,1.0848203
"Tsa,reset",0.48978174,0.28117335098921126,0.34169066559646766,,0.5310843446427178,0.37120748
"Tafterhours,htg",0.85040003,0.095341012291901,0.11448784544395879,11.650964350354789,-0.6013301890751894,0.02632497
"Tafterhours,clg",1.1657249,0.08165246927095922,0.09676360530725478,6.991071596497916,-1.5203541416117006,0.025657117
"Fvav,min-sp",0.34881634,0.13582797042771777,0.16202176702432056,52.151784072837216,-0.2995898628373195,0.034931842
"Shtg,summer",0.51359063,0.374798299967524,0.4230499311413262,,0.2833743545480363,0.28196585
