,Uwindow,SHGC,Ropaque,Qinfil,Qventilation,Qcasual,Fafterhours
Uwindow,1.0,-0.046556923745550344,-0.00930009706278142,0.6094895230146924,0.6112735748083259,-0.1316496262226665,-0.4886864985442575
SHGC,-0.046556923745550344,1.0,0.16753290720218092,-0.05132725324106066,0.10225030590136505,0.4240647930035727,0.41146527884977674
Ropaque,-0.009300097062781421,0.16753290720218092,1.0,-0.2896324795833032,-0.39400410149495335,0.14464836033009154,0.053474383525549216
Qinfil,0.6094895230146924,-0.05132725324106066,-0.2896324795833032,1.0,0.7509437618854085,0.14653026495117735,-0.4651156126037233
Qventilation,0.6112735748083261,0.10225030590136505,-0.39400410149495335,0.7509437618854085,1.0,0.09879417143060425,-0.24118487885246753
Qcasual,-0.1316496262226665,0.4240647930035727,0.14464836033009154,0.14653026495117735,0.09879417143060425,1.0,0.4362518297542243
Fafterhours,-0.4886864985442575,0.41146527884977674,0.053474383525549216,-0.4651156126037234,-0.24118487885246753,0.43625182975422433,1.0
