OcHtgTbal,OcHtgSlope,OcHtgYint,UnHtgTbal,UnHtgSlope,UnHtgYint,OcClgTbal,OcClgSlope,OcClgYint,UnClgTbal,UnClgSlope,UnClgYint,R2OcHtg,R2UnHtg,R2OcClg,R2UnClg,CVOcHtg,CVUnHtg,CVOcClg,CVUnClg
1,-2.0062,40.461,5,-3.2104,15.245,12,6.322,0.34201,13,3.1307,3.1882,0.29774,0.88387,0.86147,0.88987,0.36724,0.26317,0.63409,0.6848
14,-6.2498,1.3459,6,-1.9855,1.2019,16,5.36,0.22007,17,2.7262,0.01832,0.93028,0.47155,0.89125,0.80332,0.28207,1.2946,0.67442,1.3079
20,-3.4084,2.0888,4,-0.63274,0.00021774,14,6.1656,0.014782,1,0,0,0.7883,0.82214,0.85589,NaN,0.41678,0.68889,0.72618,NaN
10,-4.671,2.1488,1,-1.5246,0.25373,14,5.249,5.4836,1,0,0,0.80546,0.81817,0.85968,NaN,0.56829,0.77184,0.7219,NaN
12,-4.8559,0.81702,7,-1.4755,0.25605,15,5.8275,0.30644,1,0,0,0.88684,0.84647,0.86062,NaN,0.39822,0.53922,0.73259,NaN
25,-2.2035,4.9784,25,-1.5162,2.0372,13,4.1443,0.20417,13,3.2078,0.035122,0.67345,0.53356,0.86311,0.86211,0.42477,0.53011,0.6601,0.75696
10,-4.7099,29.094,9,-1.6986,0.38384,14,6.3853,6.7397,1,0,0,0.79363,0.81784,0.87618,NaN,0.33645,0.54931,0.66887,NaN
17,-3.2624,0.12798,7,-1.7369,0.22209,15,2.449,0.085361,18,1.7046,0.048297,0.79553,0.86984,0.88005,0.82348,0.47564,0.49342,0.6777,1.2998
1,-3.6553,115.74,5,-1.6337,0.24711,12,7.0365,7.4366,1,0,0,0.34381,0.85922,0.85278,NaN,0.22081,0.55666,0.66879,NaN
12,-5.718,0.49615,4,-1.806,0.38307,14,5.9048,6.0829,1,0,0,0.91529,0.83903,0.86211,NaN,0.34244,0.61972,0.71872,NaN
