,Uwindow,SHGC,Ropaque,Qinfil,Qventilation,Qcasual,Fafterhours
Uwindow,1.0,-0.20498916176986268,-0.10815418751930346,0.5094429714194084,0.6407754999895359,-0.3267673704943953,-0.5853734962238815
SHGC,-0.2049891617698627,1.0,0.3860346613724102,0.23538508089755225,0.07062676727055278,0.8358435232700455,0.42494923973517024
Ropaque,-0.10815418751930346,0.3860346613724102,1.0,-0.0785987685444859,-0.2625176618212343,0.385467954195538,0.049105089994682063
Qinfil,0.5094429714194084,0.23538508089755228,-0.0785987685444859,1.0,0.525856399971678,0.21838532629218688,-0.3419846802679028
Qventilation,0.6407754999895358,0.07062676727055278,-0.2625176618212343,0.525856399971678,1.0,0.04592651495499097,-0.16653611928177114
Qcasual,-0.3267673704943953,0.8358435232700455,0.385467954195538,0.21838532629218688,0.04592651495499097,1.0,0.5114756215429533
Fafterhours,-0.5853734962238815,0.42494923973517024,0.04910508999468205,-0.3419846802679028,-0.16653611928177114,0.5114756215429533,1.0
