Parameter,Mean,MAE,RMSE,MAPE,R2,Std. Dev
Uwindow,2.5277898,0.5253345120874049,0.6122263294403771,22.37580650277026,-0.02476501726014046,0.10179955
SHGC,0.5009777,0.10074949422113588,0.12108597090379435,21.6931675463954,-0.08957423581921162,0.047203112
Ropaque,3.2503214,0.88948925658999,1.0295913509664687,32.06511520181143,-0.024773097812462598,0.119980834
Qinfil,0.5527436,0.2115503109683245,0.2510927185692006,60.01620447037475,0.04083814525730732,0.07649629
Qventilation,1.0897906,0.17829245801085258,0.22828092082326612,23.02665458003124,0.8000565522602416,0.4612133
Qcasual,11.6295395,1.950202047234467,2.466565643912867,22.428295893453832,0.749363687071165,4.2499332
Fafterhours,0.5002885,0.22437955019745176,0.2688737006351713,336.440378051203,0.12365420733896054,0.11820108
Mset up/down,0.5079488,0.08353849761628071,0.10567971428474571,,0.9536886086360546,0.49268195
"Tsa,clg",13.50726,0.6321804362349701,0.7773463593563501,4.721251084000918,0.20157981139311482,0.43311492
"Tsa,htg",19.326717,1.9880228758982341,2.39594431749765,10.283854590625896,0.13189197844355804,1.1605593
"Tsa,reset",0.5108018,0.24023406571883085,0.30449714437612374,,0.6258294801690035,0.39400795
"Tafterhours,htg",0.8444089,0.08764937214327558,0.10478471554201732,10.682365134739046,-0.3229415806498948,0.024467142
"Tafterhours,clg",1.1651974,0.0664461086206859,0.08007917640098179,5.683426436543414,-0.6524433250104557,0.023099408
"Fvav,min-sp",0.34743714,0.12791023197926027,0.15175469327238722,49.54174960678226,-0.1240778634682889,0.0360939
"Shtg,summer",0.49698856,0.3525460240911195,0.40698946564761757,,0.33672794750608764,0.30045813
