Parameter,Mean,MAE,RMSE,MAPE,R2,Std. Dev
Uwindow,2.5574195,0.5185465639130237,0.6065843303844337,22.329295463810503,-0.0059348616718886815,0.15330593
SHGC,0.49349716,0.09461043506106619,0.11479712331585856,20.04428159985336,0.02796163443196314,0.06433109
Ropaque,3.255059,0.8902843919256681,1.0298932699172971,32.141666901577594,-0.02533957352936648,0.14878425
Qinfil,0.5499267,0.2034645563227092,0.24210847656723014,57.27380934673521,0.10943201424887267,0.09284867
Qventilation,1.099476,0.19895557901564934,0.25062255252785215,26.236147984126916,0.7585781524134245,0.43255112
Qcasual,11.644491,2.3483428899416654,2.9858671583954415,27.339333733446782,0.6326353926969206,3.9899035
Fafterhours,0.4884131,0.22977940166994465,0.27217656391504097,354.7874836761515,0.10337801743916429,0.09678531
Mset up/down,0.5075364,0.06293936460412126,0.08317413712836685,,0.9712971639226337,0.4935643
"Tsa,clg",13.536849,0.647224270136083,0.7962583670050531,4.840477809664456,0.16219824663778099,0.46276855
"Tsa,htg",19.379387,2.0496622729708864,2.4358868616981697,10.634341626809315,0.10350110868976198,1.1131127
"Tsa,reset",0.49823034,0.2328893099693803,0.29558152888779277,,0.648980252029158,0.40211287
"Tafterhours,htg",0.8467448,0.08421029498756871,0.10206609836851419,10.280639290485453,-0.2416424005408067,0.046056107
"Tafterhours,clg",1.1689706,0.06815137483156777,0.0834867526298779,5.841618682420765,-0.7556648288249943,0.044217505
"Fvav,min-sp",0.34460235,0.1259442316227534,0.1494814931228473,48.41425005864188,-0.08571463712959919,0.04830605
"Shtg,summer",0.5016058,0.3597425890504827,0.40839691184608595,,0.3322911912552847,0.28046468
