,Uwindow,SHGC,Ropaque,Qinfil,Qventilation,Qcasual,Fafterhours
Uwindow,1.0,-0.1701444754237399,0.2000055945719665,0.4828657978824548,0.6614418059365906,-0.2847530575079622,-0.34146169273085064
SHGC,-0.1701444754237399,1.0,0.40261725147152916,0.2522552244455472,0.02650971659371253,0.7810198871438707,0.4812272558910088
Ropaque,0.2000055945719665,0.4026172514715291,1.0,0.07774918439880583,0.06885463084638271,0.3568931604546672,0.1833871725828042
Qinfil,0.4828657978824548,0.2522552244455472,0.07774918439880583,1.0,0.484988888566504,0.278303499721287,-0.07961669533234504
Qventilation,0.6614418059365906,0.026509716593712533,0.06885463084638271,0.484988888566504,1.0,0.01119814562312404,-0.07591964519423333
Qcasual,-0.2847530575079622,0.781019887143871,0.3568931604546672,0.278303499721287,0.01119814562312404,1.0,0.63472365820055
Fafterhours,-0.34146169273085064,0.4812272558910088,0.1833871725828042,-0.07961669533234504,-0.07591964519423333,0.63472365820055,1.0
