OcHtgTbal,OcHtgSlope,OcHtgYint,UnHtgTbal,UnHtgSlope,UnHtgYint,OcClgTbal,OcClgSlope,OcClgYint,UnClgTbal,UnClgSlope,UnClgYint,R2OcHtg,R2UnHtg,R2OcClg,R2UnClg,CVOcHtg,CVUnHtg,CVOcClg,CVUnClg
5,-3.4693,41.028,9,-4.1536,17.969,12,6.6969,6.9376,13,3.571,3.6436,0.49458,0.85962,0.87574,0.89563,0.42953,0.30151,0.6102,0.66383
14,-6.6787,2.2047,11,-2.6933,0.24498,15,5.9134,6.289,16,3.9873,0.060402,0.87768,0.72106,0.91132,0.85846,0.3802,0.6824,0.5843,0.97611
23,-3.8758,4.466,7,-1.1934,0.077942,14,7.9248,0.41941,1,0,0,0.78238,0.84166,0.85347,NaN,0.36702,0.55897,0.71818,NaN
11,-5.4728,6.757,5,-2.4851,0.16078,14,6.323,6.7445,1,0,0,0.75245,0.86625,0.86526,NaN,0.58472,0.54964,0.69906,NaN
13,-5.3921,2.5155,10,-2.4134,0.36928,14,5.8367,5.8791,1,0,0,0.82257,0.87068,0.87352,NaN,0.48325,0.43594,0.69011,NaN
25,-2.7622,3.876,24,-1.9646,1.3575,12,4.3114,4.2483,12,3.4328,3.4006,0.76471,0.67852,0.87025,0.86544,0.35299,0.44354,0.63532,0.72301
9,-5.4746,40.078,11,-2.4923,0.26567,14,8.6746,8.8529,1,0,0,0.68572,0.83496,0.87357,NaN,0.41088,0.48688,0.6863,NaN
18,-4.0421,1.255,9,-2.8942,0.89495,14,3.049,0.00099343,16,1.9199,0.011409,0.78757,0.93092,0.90119,0.84096,0.45938,0.31349,0.5865,1.0545
1,-4.5906,138.02,9,-2.7229,0.65891,12,8.9658,0.54607,1,0,0,0.33431,0.88813,0.85606,NaN,0.23644,0.41218,0.647,NaN
12,-6.7618,0.82929,9,-2.8413,0.19673,15,8.0385,0.33273,1,0,0,0.88995,0.86793,0.86674,NaN,0.39414,0.46397,0.71755,NaN
14,-4.7352,0.88686,12,-2.6072,0.53132,15,4.5278,4.8328,15,2.631,2.7214,0.88454,0.86752,0.90457,0.87163,0.37332,0.40756,0.60737,0.87877
3,-6.4148,81.475,6,-4.2477,14.13,13,7.8909,0.48453,16,3.7226,0.27368,0.65575,0.87257,0.87992,0.8792,0.27561,0.32291,0.60965,0.84503
10,-4.6283,7.2747,10,-2.7113,0.35527,14,5.8521,6.1928,1,0,0,0.76138,0.85927,0.87353,NaN,0.56472,0.45906,0.67627,NaN
8,-3.6554,0.26273,6,-1.3524,0.30266,14,5.9072,6.1813,1,0,0,0.90306,0.87006,0.8592,NaN,0.4322,0.50422,0.72282,NaN
7,-4.158,4.3268,6,-2.1999,0.20956,14,6.8456,6.988,1,0,0,0.64846,0.87357,0.87154,NaN,0.86212,0.50782,0.69252,NaN
25,-3.0543,0.65843,16,-3.3118,0.39912,13,6.7179,6.9757,14,4.2598,4.3844,0.68339,0.90502,0.87317,0.90322,0.46077,0.29169,0.64842,0.68626
14,-5.4297,1.0773,15,-3.9385,1.1894,16,7.0388,0.31214,18,2.7409,0.12963,0.79794,0.93986,0.87655,0.8048,0.51939,0.23342,0.72326,1.3462
11,-4.7094,3.77,6,-2.4905,0.42047,14,4.8811,4.9808,1,0,0,0.78867,0.88296,0.87439,NaN,0.55457,0.47965,0.68378,NaN
11,-4.4066,2.1081,10,-2.6243,0.36884,15,6.0855,6.4039,16,2.7046,2.8905,0.7566,0.91741,0.86974,0.85495,0.63153,0.33992,0.72859,1.0116
