OcHtgTbal,OcHtgSlope,OcHtgYint,UnHtgTbal,UnHtgSlope,UnHtgYint,OcClgTbal,OcClgSlope,OcClgYint,UnClgTbal,UnClgSlope,UnClgYint,R2OcHtg,R2UnHtg,R2OcClg,R2UnClg,CVOcHtg,CVUnHtg,CVOcClg,CVUnClg
1,-3.2639,41.089,8,-3.1427,16.715,12,6.57,6.9325,13,3.473,3.5614,0.43405,0.83469,0.87347,0.90141,0.40575,0.30676,0.61296,0.64144
14,-6.8491,2.0671,12,-2.5156,0.32171,15,5.4156,5.7114,16,3.6046,0.13146,0.92794,0.6147,0.92727,0.87908,0.28461,0.83262,0.52672,0.87419
22,-3.7566,1.8678,6,-1.0092,0.15833,14,7.2956,0.22269,1,0,0,0.79507,0.8331,0.86759,NaN,0.38143,0.59092,0.68334,NaN
11,-5.1331,4.5672,4,-2.0569,0.10527,14,5.9463,6.3365,1,0,0,0.78951,0.8586,0.87222,NaN,0.54745,0.59436,0.67832,NaN
13,-5.3801,1.1549,9,-2.0774,0.19282,14,5.5508,5.5707,1,0,0,0.88137,0.87502,0.88125,NaN,0.39222,0.44803,0.66672,NaN
25,-2.4874,4.6214,24,-1.844,0.57641,12,4.0936,4.068,13,3.823,0.21914,0.73726,0.64257,0.87561,0.86621,0.37137,0.46458,0.61855,0.72608
9,-5.7975,35.981,10,-2.1733,0.25919,14,8.0851,8.2738,1,0,0,0.79309,0.83866,0.88204,NaN,0.33703,0.49827,0.659,NaN
17,-3.9058,1.7164,9,-2.5407,0.61615,14,2.8455,0.0096368,16,1.7949,0.096024,0.828,0.92714,0.91255,0.86097,0.41352,0.32556,0.54763,0.93261
1,-4.1153,133.8,8,-2.3259,0.29618,12,8.5642,0.57915,1,0,0,0.31006,0.89182,0.85525,NaN,0.23272,0.42727,0.64775,NaN
12,-6.5441,0.6804,7,-2.4166,0.35373,15,7.7171,0.43598,1,0,0,0.91404,0.8685,0.86563,NaN,0.34447,0.49484,0.71591,NaN
14,-4.6963,0.42096,13,-2.212,2.1738,15,4.3001,4.5731,16,2.9741,0.16646,0.91904,0.8062,0.91444,0.86989,0.30979,0.50554,0.57296,0.89559
2,-6.4538,79.361,5,-3.7842,13.936,13,7.7895,0.39061,16,3.5793,0.33456,0.6821,0.85955,0.87723,0.88667,0.25708,0.32956,0.61988,0.80091
