Parameter,Mean,MAE,RMSE,MAPE,R2,Std. Dev
Uwindow,2.5393322,0.5211734145543633,0.6088667123289023,22.30569687607314,-0.013444592432371767,0.13731924
SHGC,0.5005537,0.08718109282629306,0.1047902521737639,18.75133269055901,0.19176112904136752,0.056962956
Ropaque,3.2381382,0.8899925876800283,1.0301025724065773,31.97187164996572,-0.025751042501157277,0.15185371
Qinfil,0.5416355,0.19294374289318092,0.229733885919731,53.297213685842806,0.1979048464817524,0.09949624
Qventilation,1.1044855,0.17095430173971493,0.22090451730189714,23.397716184875,0.8132075864139702,0.46136022
Qcasual,11.593629,2.211611357860936,2.7889010742320157,25.67989551721744,0.6795788944052087,3.9762347
Fafterhours,0.500333,0.217904128737969,0.2599329618908157,324.58429548547076,0.18257287426892538,0.11494201
Mset up/down,0.5088669,0.04483114654073831,0.05921169067804313,,0.9856737012815965,0.49724284
"Tsa,clg",13.519849,0.6433834507981618,0.7941255583894123,4.809992056139348,0.16696569309948245,0.5022021
"Tsa,htg",19.330275,2.0745851861480205,2.469621641003629,10.720009366658422,0.07868772643739397,1.2179523
"Tsa,reset",0.5033597,0.24845541755329237,0.31150057162489914,,0.6096957353717835,0.3893359
"Tafterhours,htg",0.8384724,0.07584833220011737,0.09100449811509365,9.199272294746772,0.01986798315834653,0.039028104
"Tafterhours,clg",1.1642201,0.06159315624972597,0.07431293284770928,5.262833174068503,-0.3811846199683865,0.033167623
"Fvav,min-sp",0.348964,0.12131449202971428,0.14283694464201055,47.54477558721207,0.009952564872900664,0.04372234
"Shtg,summer",0.4990444,0.3501483554927634,0.4002285145558556,,0.35923498430593526,0.29924986
