,Uwindow,SHGC,Ropaque,Qinfil,Qventilation,Qcasual,Fafterhours
Uwindow,1.0,0.013505151308591097,0.3018059753548444,0.49496932898195845,0.606908221342897,-0.2098197793782844,-0.42561153349594827
SHGC,0.013505151308591106,1.0,0.4413918164278938,0.2288305138339809,0.1514637151069162,0.7149138927184072,0.38919229634960795
Ropaque,0.3018059753548444,0.4413918164278938,1.0,0.12867653436705004,0.10406517386876189,0.43905833180986525,0.14712563248325305
Qinfil,0.49496932898195845,0.22883051383398093,0.12867653436705004,1.0,0.4429600630078523,0.2512405269247988,-0.27280908885937827
Qventilation,0.606908221342897,0.15146371510691617,0.10406517386876189,0.4429600630078523,1.0,0.025511368081364637,-0.149490965035831
Qcasual,-0.20981977937828436,0.7149138927184072,0.43905833180986525,0.2512405269247988,0.025511368081364637,1.0,0.6184698999845097
Fafterhours,-0.42561153349594827,0.38919229634960795,0.14712563248325305,-0.27280908885937827,-0.149490965035831,0.6184698999845097,1.0
