OcHtgTbal,OcHtgSlope,OcHtgYint,UnHtgTbal,UnHtgSlope,UnHtgYint,OcClgTbal,OcClgSlope,OcClgYint,UnClgTbal,UnClgSlope,UnClgYint,R2OcHtg,R2UnHtg,R2OcClg,R2UnClg,CVOcHtg,CVUnHtg,CVOcClg,CVUnClg
9,-1.0239,26.19,1,-0.22861,0.082179,12,5.8315,5.9312,1,0,0,0.45597,0.72281,0.84081,NaN,0.2865,1.3348,0.70894,NaN
11,-5.3744,4.5598,13,-4.7116,0.6449,14,6.2915,6.4633,14,4.3547,4.4198,0.84035,0.92524,0.90357,0.88454,0.46435,0.28757,0.58775,0.76406
24,-2.7176,1.9338,1,-0.17767,0.054291,13,6.3081,6.3613,1,0,0,0.67896,0.61048,0.85375,NaN,0.49966,1.7563,0.71154,NaN
4,-1.1153,62.234,3,-0.80646,0.033615,11,6.0214,5.8996,1,0,0,0.23929,0.84251,0.85439,NaN,0.19675,0.66494,0.64799,NaN
6,-1.8375,1.7752,1,-1.7154,1.5495,14,7.739,0.15618,15,4.201,4.4059,0.82175,0.90754,0.87891,0.91516,0.68556,0.57384,0.65205,0.68987
7,-4.6797,1.2738,1,-0.16388,0.036769,14,6.7359,7.0462,1,0,0,0.80962,0.58269,0.85496,NaN,0.64282,1.9189,0.73556,NaN
20,-2.2655,1.1019,3,-1.1689,0.091015,14,5.6284,0.19616,1,0,0,0.51465,0.7851,0.85867,NaN,0.78781,0.79763,0.70838,NaN
16,-1.6686,0.22591,4,-1.4982,0.039059,13,5.4684,5.5708,1,0,0,0.47488,0.83188,0.86235,NaN,1.0149,0.66207,0.68437,NaN
11,-5.6055,0.70198,13,-5.0643,0.82631,15,7.54,0.26079,15,4.1009,0.13229,0.89544,0.94609,0.89018,0.88672,0.3976,0.24083,0.64483,0.77739
25,-0.23755,76.982,1,-0.67364,0.63205,13,7.2832,7.658,1,0,0,0.022131,0.798,0.86491,NaN,0.24466,0.895,0.66935,NaN
6,-2.4087,0.31228,5,-1.6063,0.032036,14,4.6348,4.7192,15,3.1815,0.070044,0.82528,0.94121,0.89301,0.90926,0.6511,0.35272,0.62498,0.69239
14,-4.7494,1.6421,1,-2.4901,0.94888,15,4.4998,0.053971,19,3.1954,0.15031,0.90056,0.67499,0.87558,0.713,0.3379,1.0692,0.69956,1.884
9,-2.0051,2.0509,6,-1.118,0.15701,14,3.4746,3.5885,1,0,0,0.80483,0.8508,0.8601,NaN,0.63278,0.55448,0.72404,NaN
19,-4.6507,0.9098,1,-0.88117,1.8087,15,3.8002,0.17747,19,2.9294,0.072615,0.89051,0.18267,0.87936,0.69712,0.30153,2.2341,0.67613,2.0369
14,-5.1743,1.2519,11,-2.2235,2.2873,15,4.6323,4.7436,16,2.9538,0.12457,0.8805,0.63364,0.91691,0.87217,0.37856,0.84385,0.57411,0.89767
6,-3.6349,0.23967,2,-0.69212,0.093677,14,5.7566,6.0938,1,0,0,0.81819,0.84715,0.857,NaN,0.67535,0.66955,0.72593,NaN
9,-2.4105,1.5297,6,-0.64664,0.051308,14,4.7226,4.8219,1,0,0,0.8166,0.79381,0.88119,NaN,0.5543,0.68225,0.66229,NaN
22,-2.9701,2.841,1,-0.54172,0.34522,13,6.0496,0.19196,1,0,0,0.74826,0.779,0.85324,NaN,0.45146,1.0422,0.69177,NaN
8,-4.8834,28.734,6,-2.197,7.0834,13,6.2449,0.099833,15,2.9773,0.04595,0.80078,0.6585,0.8939,0.80111,0.33748,0.61567,0.57792,1.0976
7,-2.8508,0.75296,7,-1.7821,0.17359,14,4.3978,4.4885,15,2.3083,2.3883,0.80508,0.82989,0.90119,0.90553,0.65318,0.5804,0.59732,0.73943
1,-2.4527,82.177,2,-0.92609,0.14502,14,7.172,0.056444,1,0,0,0.31266,0.84766,0.87011,NaN,0.22503,0.66449,0.68219,NaN
19,-1.9961,0.27343,3,-0.91291,2.0355,14,3.0444,0.19229,16,1.7263,0.12196,0.81254,0.60067,0.88421,0.8901,0.41487,0.81905,0.62461,0.80308
10,-4.7956,0.81735,14,-4.1504,0.22984,15,7.5367,0.29959,15,3.1427,0.00053018,0.83021,0.93312,0.89089,0.92496,0.54367,0.26269,0.64094,0.63476
1,-2.795,105.43,4,-1.4466,0.27608,12,7.5327,7.6861,1,0,0,0.26522,0.80875,0.85811,NaN,0.22647,0.69113,0.66187,NaN
25,-2.2703,1.2988,1,-1.0097,0.19555,12,5.2256,0.10297,1,0,0,0.66884,0.8149,0.8386,NaN,0.46739,0.77417,0.7013,NaN
10,-3.9983,2.2115,13,-3.4201,1.0848,15,6.0588,0.32511,14,3.3311,3.3654,0.87163,0.94788,0.90112,0.9023,0.4384,0.23292,0.60271,0.69788
