Parameter,Mean,MAE,RMSE,MAPE,R2,Std. Dev
Uwindow,2.5382986,0.5245965792091077,0.6088965009445861,22.4476786940277,-0.013512357607082788,0.082702525
SHGC,0.49870408,0.09992026079926532,0.11665268776429294,21.606262317471042,0.0019674019806671895,0.028632129
Ropaque,3.2454703,0.8851798766779073,1.0223722964955257,31.88133903697335,-0.01039750677219734,0.11197563
Qinfil,0.540969,0.21063396941914675,0.24736067850870236,58.85926396113467,0.07224106454932097,0.075105384
Qventilation,1.0941725,0.20555149075219084,0.26207291958056184,25.32437241643537,0.7371243940802288,0.44177708
Qcasual,11.528046,1.474140728658857,1.8892499919173287,16.922945126781272,0.8529618098351126,4.5189395
Fafterhours,0.49974173,0.20453710692694904,0.24738441494171437,286.38929399602273,0.25997258739019086,0.1506327
Mset up/down,0.50771564,0.07090182632896841,0.09555388636705009,,0.9630084080878173,0.49322155
"Tsa,clg",13.522735,0.6575059296467844,0.7982485835202163,4.915938387427855,0.1583893140423194,0.40828586
"Tsa,htg",19.345835,2.082611767628301,2.469625157112509,10.801111673906725,0.07873324012493722,0.99413955
"Tsa,reset",0.5036033,0.2733727208124197,0.33128095695623455,,0.5604729050314621,0.37382984
"Tafterhours,htg",0.8399112,0.07921918795813554,0.09294696545329949,9.627228321119249,-0.01992795164562822,0.023220882
"Tafterhours,clg",1.169518,0.05525919451524544,0.06557443304149727,4.738178669050792,-0.07166710944226111,0.02078089
"Fvav,min-sp",0.35289714,0.12190919999305129,0.1428815339789563,48.40742570487293,0.00997684577035052,0.038118146
"Shtg,summer",0.49582592,0.3651944938174878,0.41162334562307756,,0.32219249305242925,0.28451085
