OcHtgTbal,OcHtgSlope,OcHtgYint,UnHtgTbal,UnHtgSlope,UnHtgYint,OcClgTbal,OcClgSlope,OcClgYint,UnClgTbal,UnClgSlope,UnClgYint,R2OcHtg,R2UnHtg,R2OcClg,R2UnClg,CVOcHtg,CVUnHtg,CVOcClg,CVUnClg
1,-1.133,35.83,4,-2.5154,13.022,11,4.7193,4.9343,13,2.7044,2.7858,0.17353,0.89424,0.85174,0.88756,0.34921,0.23758,0.64322,0.68874
14,-4.7034,0.31728,3,-1.4664,0.29484,16,3.3121,3.527,18,1.4381,0.035871,0.9023,0.74248,0.8616,0.76776,0.34423,0.87202,0.7967,1.5515
16,-4.0711,1.3067,3,-0.45041,0.051422,15,4.8842,0.24627,1,0,0,0.87122,0.81546,0.86114,NaN,0.36497,0.71898,0.73173,NaN
11,-4.1373,4.2152,1,-0.75889,0.046176,14,4.2533,4.379,1,0,0,0.88312,0.75732,0.85418,NaN,0.43095,0.95629,0.74269,NaN
14,-4.1993,3.9625,4,-1.048,0.27262,15,4.7449,0.24948,1,0,0,0.91548,0.84053,0.85686,NaN,0.32291,0.6101,0.74404,NaN
25,-1.9198,5.4371,25,-1.281,2.5155,12,3.0987,3.0473,13,2.4398,2.5434,0.60495,0.4892,0.85979,0.86809,0.47965,0.56283,0.66483,0.74959
14,-3.2937,16.452,9,-1.3497,0.12758,14,4.4012,0.1412,1,0,0,0.76271,0.84282,0.87184,NaN,0.38663,0.51184,0.67024,NaN
15,-3.1083,1.2258,6,-1.3146,0.19728,15,1.847,0.018394,19,1.0849,1.1903,0.82148,0.84657,0.85834,0.80518,0.4554,0.56273,0.75464,1.6002
4,-2.2976,97.322,2,-0.96262,0.12673,13,7.2936,0.39878,1,0,0,0.30129,0.8141,0.83653,NaN,0.2166,0.75397,0.73128,NaN
14,-4.5298,0.081913,3,-0.87428,0.081788,14,4.7196,4.7359,1,0,0,0.89095,0.81486,0.84213,NaN,0.36786,0.72397,0.78643,NaN
16,-3.2321,2.7515,14,-0.90841,0.7791,15,3.154,3.3359,16,1.6958,0.014256,0.89245,0.69533,0.88869,0.83509,0.34457,0.66377,0.66467,1.075
4,-3.904,49.559,2,-2.2925,5.3719,12,4.619,4.6281,17,2.2375,0.20074,0.65284,0.79943,0.86007,0.831,0.28621,0.49891,0.66026,1.0868
11,-2.8298,2.7557,5,-1.1442,0.18703,14,3.1748,3.2667,1,0,0,0.89335,0.84075,0.84313,NaN,0.41161,0.5971,0.77555,NaN
5,-2.2733,0.10369,1,-0.12872,0.058066,14,3.8177,0.11938,1,0,0,0.92213,0.7193,0.85775,NaN,0.43645,1.3028,0.71211,NaN
4,-2.1824,0.088596,1,-0.46723,0.47241,14,5.4278,0.078739,1,0,0,0.80609,0.76627,0.85772,NaN,0.7717,0.96132,0.71715,NaN
25,-2.3382,1.7888,17,-2.7851,0.65823,13,5.7173,0.23434,14,3.3345,3.5337,0.7445,0.8966,0.84941,0.87373,0.40679,0.29022,0.69998,0.78249
15,-3.7276,3.4918,13,-2.2016,0.34483,16,4.2261,4.5445,22,1.2284,0.019803,0.87579,0.86585,0.8588,0.57739,0.38536,0.39739,0.80161,3.6204
10,-3.1452,3.0398,1,-0.71558,0.096545,14,3.7544,0.0074166,1,0,0,0.88685,0.77802,0.85608,NaN,0.44375,0.88266,0.72574,NaN
11,-3.0403,2.9477,1,-1.0607,0.45117,15,4.3396,4.6175,18,2.0092,0.10191,0.8173,0.61166,0.83944,0.77548,0.56356,1.213,0.81902,1.4639
25,-0.64144,87.7,1,-1.7848,72.216,12,5.5052,5.6064,12,4.968,5.1228,0.26637,0.34836,0.88603,0.87226,0.13485,0.17557,0.58413,0.68942
24,-1.4068,0.2797,1,-0.91838,1.2592,13,2.1963,0.0076231,16,1.264,0.048259,0.68967,0.57746,0.87638,0.75086,0.47354,1.0363,0.6329,1.3556
24,-1.1788,0.8104,1,-0.26884,0.15601,14,6.6196,0.34586,1,0,0,0.63279,0.74569,0.85278,NaN,0.5543,1.1647,0.72035,NaN
1,-1.822,51.114,1,-0.14162,0.07224,11,3.1644,0.031581,1,0,0,0.37754,0.51754,0.84997,NaN,0.22908,1.9724,0.64415,NaN
23,-1.9777,1.8622,4,-1.0938,0.26411,14,5.4556,0.31319,1,0,0,0.69253,0.82877,0.83067,NaN,0.49832,0.63917,0.78112,NaN
7,-4.0672,0.93417,1,-0.4642,0.47523,14,5.0756,5.2398,1,0,0,0.83574,0.77881,0.82738,NaN,0.59201,0.92417,0.82015,NaN
2,-1.9136,0.12187,1,-0.34429,0.29305,14,4.2899,0.091227,1,0,0,0.88272,0.81335,0.85299,NaN,0.627,0.87517,0.72896,NaN
3,-3.3025,30.521,11,-2.0346,2.5849,14,4.3535,0.15537,20,2.4797,0.043383,0.68328,0.90399,0.87349,0.66128,0.32794,0.3135,0.66429,2.4732
