,Uwindow,SHGC,Ropaque,Qinfil,Qventilation,Qcasual,Fafterhours
Uwindow,1.0,-0.08255379166666998,0.07578424651341806,0.48207251508339993,0.6385722943240633,-0.05489882427624489,-0.46579524788944754
SHGC,-0.08255379166666996,1.0,0.07782824168463134,-0.03908969353770535,0.10602054775965485,0.4740008739438554,0.3987242991414916
Ropaque,0.07578424651341806,0.07782824168463134,1.0,-0.3513169047663824,-0.3045904606855629,0.24400028312705782,-0.13565689227528893
Qinfil,0.48207251508339993,-0.039089693537705354,-0.3513169047663824,1.0,0.7083128587857156,0.11773230961076826,-0.35348053207556335
Qventilation,0.6385722943240633,0.10602054775965483,-0.3045904606855629,0.7083128587857156,1.0,0.07818686231256748,-0.20137108971457734
Qcasual,-0.05489882427624489,0.4740008739438554,0.24400028312705782,0.11773230961076826,0.07818686231256748,1.0,0.38730594177300676
Fafterhours,-0.4657952478894476,0.3987242991414915,-0.13565689227528893,-0.35348053207556335,-0.2013710897145774,0.38730594177300676,1.0
