OcHtgTbal,OcHtgSlope,OcHtgYint,UnHtgTbal,UnHtgSlope,UnHtgYint,OcClgTbal,OcClgSlope,OcClgYint,UnClgTbal,UnClgSlope,UnClgYint,R2OcHtg,R2UnHtg,R2OcClg,R2UnClg,CVOcHtg,CVUnHtg,CVOcClg,CVUnClg
1,-1.335,38.256,4,-2.7404,14.289,11,5.1774,5.2921,13,3.0239,3.0912,0.20217,0.89435,0.85768,0.89275,0.34768,0.23652,0.63201,0.67336
15,-5.2994,5.3555,7,-1.5341,0.96436,16,4.6706,0.09685,17,2.1691,0.066293,0.92954,0.41087,0.8917,0.81173,0.27976,1.4119,0.68047,1.2386
19,-3.474,0.29321,3,-0.47046,0.040828,14,5.1927,5.3998,1,0,0,0.81627,0.83242,0.85962,NaN,0.41139,0.68259,0.72346,NaN
10,-4.4042,0.9575,1,-0.99123,0.036134,14,4.8754,5.0663,1,0,0,0.85171,0.80283,0.86099,NaN,0.49842,0.84338,0.71954,NaN
13,-4.4501,4.4094,5,-1.1376,0.28003,14,4.6291,4.645,1,0,0,0.9086,0.8485,0.86133,NaN,0.34872,0.57058,0.7288,NaN
25,-2.0614,5.3751,25,-1.3906,2.7962,13,3.9101,0.22243,13,2.8007,2.9659,0.63195,0.49471,0.86838,0.86694,0.45781,0.55546,0.64355,0.74711
11,-4.2905,25.006,8,-1.3356,0.3207,14,5.9569,0.071356,1,0,0,0.83021,0.82561,0.87542,NaN,0.30471,0.5544,0.66496,NaN
16,-3.1299,0.4701,6,-1.4666,0.40989,15,2.199,0.049845,18,1.447,0.065975,0.83377,0.86319,0.87346,0.82769,0.43038,0.51441,0.70276,1.2502
3,-2.7407,108.52,3,-1.2355,0.24328,12,6.9304,6.8738,1,0,0,0.3092,0.85039,0.84265,NaN,0.21578,0.62166,0.70957,NaN
13,-4.9823,4.3387,3,-1.19,0.14601,14,5.436,5.6393,1,0,0,0.91559,0.83291,0.85841,NaN,0.33826,0.67557,0.72779,NaN
15,-3.6492,3.1179,16,-1.1423,0.9867,15,3.5581,3.7501,16,2.1224,0.09008,0.92046,0.52723,0.89689,0.85609,0.30318,0.87324,0.63785,0.96113
4,-4.4094,55.763,2,-2.4141,8.1023,13,6.1675,0.36272,16,2.5552,0.21519,0.70402,0.7761,0.85518,0.85863,0.25522,0.45771,0.67977,0.91636
9,-3.1082,0.62382,6,-1.2497,0.13094,14,4.0775,4.2537,1,0,0,0.8439,0.84445,0.85947,NaN,0.53525,0.57191,0.72293,NaN
5,-2.1736,2.2445,1,-0.25601,0.17673,14,4.7131,0.10425,1,0,0,0.88882,0.76898,0.84981,NaN,0.53745,1.0539,0.73792,NaN
4,-2.5595,0.63842,1,-0.70569,0.70858,14,5.6733,6.0428,1,0,0,0.77292,0.80283,0.86322,NaN,0.81249,0.86438,0.70559,NaN
25,-2.5313,1.1134,17,-2.8349,0.62224,13,6.1883,0.12483,14,3.647,3.8006,0.7067,0.88896,0.85511,0.88723,0.43092,0.30243,0.68947,0.74162
14,-4.1449,4.1331,13,-2.2748,0.48901,16,5.4135,0.11275,20,1.747,0.092916,0.89637,0.87841,0.86395,0.74574,0.35939,0.37338,0.77477,1.8582
9,-3.512,0.63385,1,-1.0094,0.16405,14,3.935,4.1578,1,0,0,0.8622,0.82401,0.86128,NaN,0.49903,0.75753,0.71373,NaN
10,-3.3417,0.50768,4,-1.2174,0.63887,15,4.8894,5.1668,17,2.1703,0.11057,0.78183,0.52531,0.84963,0.82545,0.63667,1.2617,0.79043,1.1559
25,-0.52773,101.17,1,-1.667,77.303,12,6.2899,6.3979,12,5.668,5.7926,0.1555,0.24673,0.88585,0.87294,0.13981,0.19758,0.58485,0.69005
25,-1.6056,1.5756,1,-1.0481,3.5233,13,2.8676,0.19151,14,1.6032,1.6868,0.74624,0.37562,0.88017,0.78227,0.40027,1.0926,0.60776,1.0908
25,-1.2397,1.1147,1,-0.27319,0.16206,14,7.6495,0.29142,1,0,0,0.60227,0.70822,0.84897,NaN,0.56024,1.2745,0.7355,NaN
1,-1.5438,60.607,1,-0.29685,0.19203,11,3.8178,0.036935,1,0,0,0.23147,0.68976,0.84984,NaN,0.2389,1.3081,0.64454,NaN
24,-2.0606,1.5853,5,-1.2895,0.31068,14,6.1934,0.31537,1,0,0,0.66343,0.83814,0.83969,NaN,0.51586,0.59399,0.75793,NaN
7,-4.0281,1.1425,1,-0.68958,0.68694,14,5.6696,5.8964,1,0,0,0.79426,0.81148,0.83935,NaN,0.67336,0.84267,0.78315,NaN
3,-2.0983,0.13513,1,-0.51516,0.45184,14,4.9336,0.087883,1,0,0,0.87337,0.81523,0.852,NaN,0.62468,0.8628,0.73289,NaN
2,-3.3661,34.936,11,-2.1293,4.5081,14,5.0174,0.1001,19,3.2824,0.15012,0.61869,0.87993,0.88074,0.76293,0.33689,0.32647,0.64648,1.6591
25,-1.3112,0.063861,21,-0.99233,0.35221,12,4.0774,4.301,12,3.4363,0.11378,0.73734,0.77244,0.86448,0.8474,0.40769,0.38561,0.6377,0.74442
15,-3.3719,1.5744,13,-2.0677,0.7641,14,3.3952,3.563,15,3.0492,0.05307,0.84661,0.86856,0.89174,0.85671,0.413,0.38436,0.62143,0.89951
1,-1.6416,35.274,8,-1.1449,0.031144,14,3.8316,0.135,1,0,0,0.38105,0.85256,0.86737,NaN,0.28834,0.51795,0.68269,NaN
12,-2.9904,0.80503,14,-1.5308,1.3928,15,3.7722,3.8921,21,1.6033,0.039644,0.83791,0.91994,0.8523,0.6109,0.48457,0.29436,0.79109,2.9685
7,-3.0859,0.68527,9,-1.5376,0.094671,14,3.8997,4.0726,17,1.9565,0.085796,0.78701,0.86847,0.86549,0.79812,0.69562,0.46336,0.7045,1.2742
1,-0.7161,77.702,25,-0.54136,16.185,12,5.544,5.8451,14,4.7599,0.18874,0.11778,0.090713,0.88688,0.86662,0.136,0.68834,0.57531,0.78453
14,-3.8964,3.6861,3,-0.76046,0.063686,15,3.2738,3.3381,1,0,0,0.89121,0.78072,0.88353,NaN,0.37122,0.80685,0.69383,NaN
10,-4.5983,29.894,8,-2.1796,4.918,13,4.944,0.11843,18,2.9034,0.27474,0.83284,0.7786,0.89459,0.73936,0.28857,0.49566,0.57417,1.5229
3,-0.74057,28.061,1,-0.10122,0.010309,12,5.2169,5.3781,1,0,0,0.26657,0.57128,0.84405,NaN,0.24927,2.0615,0.69738,NaN
12,-5.3988,1.8245,14,-4.4558,3.9247,15,6.6428,0.34161,15,4.496,0.20241,0.8934,0.93666,0.90088,0.87655,0.37754,0.26019,0.60416,0.80848
23,-2.6363,2.171,1,-0.11754,0.028664,13,5.7304,5.7558,1,0,0,0.70864,0.53532,0.85355,NaN,0.48291,2.0968,0.71309,NaN
4,-0.66486,62.357,2,-0.63623,0.079331,11,4.8426,4.9307,1,0,0,0.097403,0.8556,0.85242,NaN,0.20564,0.64937,0.64627,NaN
4,-2.0614,0.16851,1,-1.6219,1.5088,14,7.079,0.2292,15,3.7291,3.9292,0.83449,0.909,0.86828,0.90623,0.69392,0.56419,0.68079,0.72624
8,-4.5954,0.41563,1,-0.10891,0.017452,14,6.1609,6.3775,1,0,0,0.8518,0.51522,0.85392,NaN,0.54858,2.2551,0.74182,NaN
20,-2.101,0.78607,3,-1.1158,0.17787,14,4.8079,0.078481,1,0,0,0.52248,0.77395,0.85146,NaN,0.78161,0.80808,0.7349,NaN
16,-1.5126,0.19976,4,-1.3079,0.044114,13,4.9482,5.1314,1,0,0,0.46458,0.82824,0.85811,NaN,1.0364,0.66954,0.69215,NaN
