OcHtgTbal,OcHtgSlope,OcHtgYint,UnHtgTbal,UnHtgSlope,UnHtgYint,OcClgTbal,OcClgSlope,OcClgYint,UnClgTbal,UnClgSlope,UnClgYint,R2OcHtg,R2UnHtg,R2OcClg,R2UnClg,CVOcHtg,CVUnHtg,CVOcClg,CVUnClg
1,-1.7141,39.369,3,-3.0654,16.418,12,6.7102,0.40804,13,3.4366,3.4964,0.2628,0.85499,0.86718,0.90218,0.35733,0.2766,0.61753,0.64128
14,-6.1818,1.3269,10,-1.8242,0.54195,15,4.9531,5.0997,16,3.0617,0.014562,0.92911,0.39294,0.92227,0.85176,0.28463,1.3806,0.55224,1.0127
22,-3.1829,3.0155,1,-0.57322,0.11021,14,6.7606,0.13882,1,0,0,0.77707,0.75694,0.86597,NaN,0.41713,0.92084,0.69101,NaN
9,-4.7142,2.8192,1,-1.1528,1.098,14,5.6523,6.0014,1,0,0,0.81513,0.78044,0.86778,NaN,0.55986,0.93948,0.6928,NaN
12,-4.6042,4.5707,5,-1.4223,0.16892,14,5.3767,5.4507,1,0,0,0.89393,0.83667,0.87247,NaN,0.39358,0.61148,0.69158,NaN
25,-2.0435,6.256,25,-1.5444,1.7572,12,3.8545,3.8385,13,3.5794,0.12572,0.6461,0.54876,0.87707,0.86474,0.43459,0.51918,0.61398,0.73912
9,-4.6473,33.518,7,-1.5148,0.2273,14,7.8326,0.026322,1,0,0,0.79392,0.7991,0.87806,NaN,0.31164,0.63725,0.65923,NaN
16,-3.2133,0.90114,6,-1.6679,0.45907,15,2.7305,0.14946,16,1.567,0.010097,0.81633,0.85406,0.90641,0.8564,0.45191,0.53451,0.58434,0.99242
1,-2.6565,128.87,3,-1.6356,0.26713,12,7.955,8.202,1,0,0,0.18432,0.84917,0.85022,NaN,0.22629,0.62958,0.68093,NaN
12,-5.4015,5.0083,1,-1.6711,0.53427,14,6.386,6.5819,1,0,0,0.91743,0.82017,0.85953,NaN,0.34543,0.73384,0.72635,NaN
14,-3.9479,3.5944,13,-1.7223,0.13965,15,4.407,0.0059127,16,2.7084,0.12189,0.93209,0.56234,0.9146,0.86644,0.28784,0.89759,0.56998,0.91821
2,-5.2137,65.786,1,-2.8923,10.527,12,6.1668,6.3689,16,3.2615,0.21848,0.67759,0.74122,0.87075,0.87745,0.25454,0.48054,0.62471,0.85695
9,-3.3348,1.5141,5,-1.6213,0.20163,14,5.0245,5.2635,1,0,0,0.83771,0.82544,0.87465,NaN,0.52804,0.63574,0.67566,NaN
7,-2.4096,2.3663,1,-0.36815,0.24522,14,5.6871,0.10782,1,0,0,0.90912,0.73578,0.85356,NaN,0.44406,1.1614,0.72798,NaN
6,-2.7458,0.63453,1,-0.9319,0.8478,14,6.4548,6.7801,1,0,0,0.74785,0.78183,0.87423,NaN,0.80592,0.94786,0.67621,NaN
25,-2.7159,3.4862,18,-2.7092,2.0753,13,6.7588,0.04591,14,4.0287,4.1592,0.65173,0.88162,0.86714,0.90264,0.46802,0.31102,0.65881,0.6872
13,-4.5146,0.97052,13,-2.4675,0.51886,16,6.2967,0.26549,18,2.1897,0.10398,0.86427,0.86058,0.89407,0.82751,0.42365,0.40413,0.66415,1.2476
9,-3.7234,0.92668,1,-1.319,0.055365,14,4.5234,4.7472,1,0,0,0.83186,0.81454,0.8716,NaN,0.55558,0.81068,0.68452,NaN
