,Uwindow,SHGC,Ropaque,Qinfil,Qventilation,Qcasual,Fafterhours
Uwindow,1.0,-0.12501029181930806,-0.06099622039319762,0.5072302192439938,0.5702670926965198,-0.2674595048669843,-0.5714149879373778
SHGC,-0.12501029181930806,1.0,0.31689336861806155,0.25863695743811765,0.1172258695406037,0.7191742635230473,0.3831245831147253
Ropaque,-0.06099622039319762,0.31689336861806155,1.0,-0.06249928790717292,-0.20058555775143563,0.36856177567455206,0.08291081427084006
Qinfil,0.5072302192439938,0.25863695743811765,-0.06249928790717292,1.0,0.4265266015775285,0.1748329778586284,-0.24122838971308933
Qventilation,0.5702670926965198,0.11722586954060371,-0.20058555775143563,0.4265266015775285,1.0,0.059723267610198805,-0.13481655299367315
Qcasual,-0.2674595048669843,0.7191742635230473,0.36856177567455206,0.1748329778586284,0.059723267610198805,1.0,0.5347825190570833
Fafterhours,-0.5714149879373778,0.3831245831147253,0.08291081427084006,-0.24122838971308933,-0.13481655299367315,0.5347825190570831,1.0
