Parameter,Mean,MAE,RMSE,MAPE,R2,Std. Dev
Uwindow,2.5529687,0.5270076726672859,0.6159990374507357,22.649279470419973,-0.037875427043653494,0.11470252
SHGC,0.5033637,0.10291964073615588,0.12469399426317963,22.148893926254164,-0.16264566172763725,0.05405998
Ropaque,3.2699673,0.8940449954688835,1.0367421273445867,32.40421761354767,-0.03925018816149906,0.122328185
Qinfil,0.5488059,0.21721991367262358,0.2587555208281838,60.665812799899506,-0.023001458129888137,0.07821067
Qventilation,1.0877156,0.19502052318501964,0.24837342435896104,25.52490154456077,0.7622630988211709,0.46075192
Qcasual,11.664417,2.0700881838444336,2.631342611841093,24.154941480156563,0.7146794635102208,4.150252
Fafterhours,0.49122414,0.23092929205670248,0.27819677854772223,314.86756077138494,0.0589798206382803,0.12171745
Mset up/down,0.5073514,0.09085485469991186,0.11160696712193027,,0.9464256561173318,0.49755836
"Tsa,clg",13.511752,0.632328668782603,0.781902456393124,4.726244389422295,0.1919887968197746,0.4565631
"Tsa,htg",19.24573,2.02568986290006,2.4318439561374636,10.434483212997609,0.10599834812442667,1.1366687
"Tsa,reset",0.5078984,0.24602205364528065,0.310762316656495,,0.6100520568393151,0.39532554
"Tafterhours,htg",0.84016776,0.09765924536825675,0.11714223443619781,11.819427933210624,-0.6879109404828102,0.029188232
"Tafterhours,clg",1.1787667,0.0789165963308827,0.0939970307958233,6.786655076268269,-1.3529379606353464,0.026609771
"Fvav,min-sp",0.35319358,0.13091738225539906,0.15637899735777827,51.1955061150181,-0.20053209064983182,0.043061063
"Shtg,summer",0.4929546,0.3561518303317391,0.4137063508317593,,0.31399080333624046,0.30126762
