OcHtgTbal,OcHtgSlope,OcHtgYint,UnHtgTbal,UnHtgSlope,UnHtgYint,OcClgTbal,OcClgSlope,OcClgYint,UnClgTbal,UnClgSlope,UnClgYint,R2OcHtg,R2UnHtg,R2OcClg,R2UnClg,CVOcHtg,CVUnHtg,CVOcClg,CVUnClg
1,-3.2468,41.04,8,-3.5462,15.825,12,6.6388,0.088809,13,3.2481,3.3036,0.43639,0.87719,0.87154,0.89621,0.40249,0.278,0.61498,0.66289
14,-6.762,2.4172,12,-2.5253,0.35625,15,5.0021,5.1512,16,3.1645,0.048564,0.92474,0.61213,0.91327,0.85971,0.28976,0.83593,0.58616,0.97089
22,-3.6434,0.9166,7,-0.96704,0.086999,14,6.8295,0.1182,1,0,0,0.79867,0.86622,0.86213,NaN,0.38301,0.50441,0.70333,NaN
11,-5.0504,3.5929,4,-1.9964,0.32216,14,5.5926,5.8609,1,0,0,0.78649,0.87182,0.86797,NaN,0.56409,0.5484,0.696,NaN
13,-5.3017,1.2242,9,-1.9933,0.51254,15,6.1484,0.26056,1,0,0,0.88063,0.8817,0.87519,NaN,0.3929,0.42453,0.69074,NaN
25,-2.4948,3.6636,24,-1.7744,0.61006,13,4.4218,0.26144,13,3.569,0.14508,0.73715,0.63581,0.87498,0.86357,0.37875,0.47067,0.62433,0.74069
9,-5.7664,34.224,11,-2.0308,0.018071,14,7.5342,7.6406,1,0,0,0.79159,0.85042,0.87793,NaN,0.3459,0.46468,0.67439,NaN
17,-3.8248,1.8758,9,-2.4965,0.72983,14,2.4938,2.6073,16,1.5691,0.037602,0.82927,0.92916,0.90054,0.85311,0.40996,0.3185,0.59361,0.98937
1,-4.5887,123.92,8,-2.22,0.59583,12,7.8944,0.48572,1,0,0,0.39608,0.89505,0.85575,NaN,0.228,0.41136,0.64769,NaN
13,-6.0427,5.2447,8,-2.2316,0.137,15,7.3746,0.41813,1,0,0,0.91427,0.87405,0.86261,NaN,0.34124,0.47034,0.72509,NaN
14,-4.6507,0.64726,13,-2.2437,0.3639,15,4.0655,4.2537,15,2.2503,2.3073,0.919,0.79825,0.90515,0.86251,0.30828,0.50725,0.61112,0.92037
4,-5.9615,71.007,6,-3.5335,12.806,12,5.9537,6.0709,15,2.8634,0.070897,0.71794,0.86642,0.87641,0.88854,0.258,0.32094,0.61135,0.7747
10,-4.1018,3.566,9,-2.2081,0.46088,14,5.0126,5.18,1,0,0,0.82714,0.87018,0.87632,NaN,0.50159,0.45063,0.67428,NaN
7,-3.2851,0.57069,6,-0.99564,0.11259,14,5.2434,5.5616,1,0,0,0.90864,0.8901,0.85689,NaN,0.42758,0.46754,0.72564,NaN
6,-3.7245,2.8252,5,-1.7287,0.27911,14,6.2705,6.402,1,0,0,0.69001,0.88045,0.87217,NaN,0.84597,0.50574,0.69053,NaN
25,-2.8383,0.33276,16,-3.1902,0.813,13,6.2795,6.552,14,3.8942,3.9912,0.70252,0.9085,0.86968,0.90103,0.44285,0.28256,0.65744,0.69666
14,-5.3357,0.74673,15,-3.5108,1.1949,16,6.2633,0.15194,18,2.1856,0.16067,0.85887,0.91955,0.87925,0.81252,0.42089,0.27201,0.72218,1.2669
11,-4.2083,2.0624,5,-2.0039,0.45468,14,4.4066,4.4999,1,0,0,0.8202,0.88823,0.87341,NaN,0.52057,0.48077,0.68662,NaN
11,-4.0818,1.5579,11,-2.1648,0.018512,15,5.4872,5.7484,16,2.4661,0.01148,0.76361,0.88225,0.86321,0.86282,0.62689,0.40479,0.75105,0.96802
1,-1.5662,126.34,1,-3.5088,81.98,12,7.7954,7.8945,13,8.0393,0.31897,0.15546,0.50931,0.88609,0.88348,0.15436,0.20691,0.58497,0.67711
24,-2.4317,0.62841,17,-1.2553,0.17,12,3.7434,0.11461,13,2.5082,0.056077,0.77175,0.72417,0.87793,0.83642,0.38264,0.53161,0.59401,0.83203
23,-1.7156,1.252,3,-0.98504,0.063303,14,8.7377,0.11455,1,0,0,0.63807,0.83812,0.85405,NaN,0.5704,0.67222,0.72834,NaN
1,-2.6152,77.147,3,-1.0598,0.19874,11,5.0069,5.1912,1,0,0,0.38519,0.87473,0.85032,NaN,0.21537,0.56211,0.64836,NaN
22,-2.8661,2.4605,9,-2.291,0.6003,14,6.9413,0.015942,1,0,0,0.72484,0.87172,0.85353,NaN,0.48252,0.44431,0.73315,NaN
8,-4.8987,5.3149,5,-1.6753,0.2866,14,6.2859,6.4951,1,0,0,0.75815,0.88681,0.8513,NaN,0.63926,0.48943,0.75015,NaN
6,-3.274,0.33845,5,-1.4116,0.057693,14,5.2241,5.4503,1,0,0,0.86605,0.89141,0.85803,NaN,0.55936,0.49052,0.72721,NaN
4,-3.7903,45.759,12,-3.0984,11.495,14,5.8027,6.0503,17,3.4722,0.036707,0.62616,0.90143,0.89493,0.76388,0.31488,0.24932,0.61273,1.4631
23,-2.06,1.235,17,-1.9564,1.3331,12,5.3584,0.2163,12,4.4566,0.30617,0.67361,0.87518,0.8664,0.84886,0.49999,0.3119,0.62361,0.72869
19,-3.6732,2.6875,15,-3.0262,0.65189,14,4.6046,0.2661,14,3.4563,3.5015,0.80557,0.92313,0.89015,0.867,0.40626,0.26832,0.60766,0.82927
1,-2.744,45.221,11,-1.8854,0.27857,14,5.2981,7.13E-05,1,0,0,0.52876,0.88775,0.86565,NaN,0.26847,0.38751,0.69789,NaN
13,-3.6343,1.0997,16,-2.5724,0.52122,15,4.2451,4.3374,19,1.9092,0.15183,0.80712,0.9418,0.85934,0.73145,0.51765,0.2223,0.7724,1.7023
9,-3.739,1.537,11,-2.4201,2.4699,15,5.1528,0.28357,16,2.3918,0.047678,0.77249,0.94706,0.88885,0.84795,0.65507,0.26262,0.64299,1.0134
2,-1.8057,83.531,1,-0.89112,41.054,12,7.0557,7.0277,14,5.9503,0.24322,0.40183,0.055033,0.89277,0.86902,0.145,0.47146,0.56835,0.77577
14,-4.9473,5.032,6,-1.3422,0.15435,15,4.0352,4.1461,1,0,0,0.88776,0.86627,0.8985,NaN,0.37507,0.52261,0.63996,NaN
8,-5.158,46.553,9,-3.0738,12.822,13,6.5259,6.8159,15,3.5268,0.12992,0.75177,0.8098,0.90189,0.78883,0.30777,0.36656,0.55997,1.1215
13,-1.7886,23.451,2,-0.83865,0.16629,12,5.958,5.9386,1,0,0,0.63282,0.86192,0.84627,NaN,0.3384,0.62059,0.69878,NaN
11,-5.9113,7.9032,13,-5.4927,0.81237,14,6.7149,7.0029,14,4.7955,4.9237,0.79084,0.92322,0.90335,0.89116,0.51833,0.29141,0.58486,0.73378
22,-3.3609,0.18828,2,-0.78734,0.072082,14,7.5505,0.35764,1,0,0,0.72048,0.84787,0.85831,NaN,0.48104,0.67547,0.70583,NaN
7,-1.9701,64.247,7,-1.4022,0.1451,12,7.4184,0.44624,1,0,0,0.49665,0.87858,0.85208,NaN,0.20342,0.4761,0.65755,NaN
6,-2.6441,0.19432,3,-3.0322,0.20314,14,7.6342,8.1102,15,4.3769,4.5221,0.71989,0.89772,0.88652,0.91788,0.89234,0.51594,0.63486,0.6855
9,-5.0669,2.1406,1,-0.83546,0.08868,14,6.9623,7.2154,1,0,0,0.78978,0.8489,0.85952,NaN,0.62175,0.70313,0.72475,NaN
19,-3.1248,3.3857,5,-1.9115,0.42368,14,6.1115,0.3025,1,0,0,0.5323,0.84551,0.8627,NaN,0.75611,0.57991,0.69242,NaN
15,-2.621,2.6752,7,-2.3533,0.38583,14,6.465,0.25425,1,0,0,0.51988,0.87474,0.86489,NaN,0.97557,0.47987,0.68888,NaN
11,-6.2059,1.9033,13,-5.7448,0.99157,15,7.8826,0.27297,15,4.4898,0.17746,0.86786,0.93996,0.89499,0.89261,0.44376,0.25475,0.62885,0.75031
1,-1.2068,83.684,4,-1.6289,0.28013,13,7.9159,8.3367,1,0,0,0.084446,0.86197,0.86398,NaN,0.25219,0.57103,0.67162,NaN
7,-3.2834,1.4524,6,-2.5417,0.080452,15,5.6338,0.26022,15,3.3401,0.089223,0.7666,0.93331,0.90052,0.90942,0.71066,0.36094,0.60687,0.68931
15,-5.1834,3.9981,11,-2.492,0.48776,15,4.6926,0.075983,18,3.0594,0.050717,0.89175,0.85809,0.88087,0.73872,0.32875,0.44068,0.68109,1.6981
10,-2.9163,0.88806,10,-1.7136,0.087684,15,4.2425,0.1899,1,0,0,0.80008,0.88995,0.88025,NaN,0.59011,0.40301,0.6739,NaN
19,-5.3213,2.3013,10,-1.9623,1.6572,14,3.5995,3.6534,19,3.5169,0.18395,0.89889,0.66591,0.88116,0.73925,0.28342,0.73627,0.66398,1.7475
14,-6.0829,3.177,11,-3.2745,3.3489,15,4.9692,5.2169,16,3.4531,0.18389,0.85565,0.8511,0.92044,0.88019,0.41038,0.4645,0.55411,0.85643
8,-4.1694,0.47054,8,-1.2637,0.083438,14,5.7833,5.9039,1,0,0,0.81283,0.89499,0.86299,NaN,0.62882,0.42411,0.71871,NaN
10,-3.0218,3.0677,9,-1.1602,0.25679,14,5.1089,5.2138,1,0,0,0.78079,0.85038,0.88536,NaN,0.57098,0.48854,0.64914,NaN
21,-3.7375,3.2034,3,-1.3351,0.10302,13,6.3268,0.050705,1,0,0,0.79618,0.86851,0.85793,NaN,0.41269,0.59331,0.6846,NaN
8,-5.6648,34.823,10,-2.8951,9.5952,13,6.2574,6.5604,15,3.3,0.082886,0.78453,0.79911,0.8948,0.8093,0.34693,0.40418,0.58133,1.0615
9,-3.5963,1.3891,9,-2.3482,0.15317,14,4.809,4.8519,15,2.6875,2.8082,0.76373,0.92741,0.90941,0.91304,0.67376,0.33294,0.57202,0.70122
1,-3.8466,87.968,7,-1.6071,0.39366,14,7.7599,0.069552,1,0,0,0.48114,0.89,0.86955,NaN,0.22239,0.44002,0.68359,NaN
18,-2.7663,0.20624,8,-1.9622,1.4813,14,3.149,0.076028,16,1.8377,0.11134,0.86634,0.91532,0.89564,0.89758,0.35398,0.34098,0.59867,0.77899
